#,Company,Industry,Country,Year,Report date,Earnings (billion),Earnings converted to USD and inflation adjusted (billion)
1,Saudi Aramco,Oil and gas,Saudi Arabia,2018,31 December 2018,SAR 416.52[3],$134.77
2,Saudi Aramco,Oil and gas,Saudi Arabia,2021,31 December 2021,SAR 412.4[4],$129.47
3,Vodafone,Telecommunications,United Kingdom,2014,31 March 2014,£59.42[1],$127.23
4,Fannie Mae,Financial services,United States,2013,31 December 2013,$83.98[2],$109.85
5,Apple,Consumer electronics,United States,2022,29 September 2022,$99.803,$112.22
5,Apple,Consumer electronics,United States,2021,29 September 2021,$94.68[5],$106.46
6,Saudi Aramco,Oil and gas,Saudi Arabia,2019,31 December 2019,SAR 330.7[6],$105.09
7,Berkshire Hathaway,Conglomerate,United States,2021,31 December 2021,$89.8[7],$100.97
8,Berkshire Hathaway,Conglomerate,United States,2019,31 December 2019,$81.4[8],$97.03
9,Saudi Aramco,Oil and gas,Saudi Arabia,2017,31 December 2017,SAR 284.62[3],$94.27
10,Alphabet,Information technology,United States,2021,31 December 2021,$76.0[9],$85.49
11,Apple,Consumer electronics,United States,2018,30 September 2018,$59.53[10],$72.23
12,Microsoft,Information technology,United States,2021,30 June 2021,$61.27[11],$68.89
13,Apple,Consumer electronics,United States,2015,26 September 2015,$53.4[12][13],$68.64
14,Apple,Consumer electronics,United States,2020,26 September 2020,$57.4[14],$67.58
15,Apple,Consumer electronics,United States,2019,30 September 2019,$55.26[15],$65.85
16,ExxonMobil,Oil and gas,United States,2008,31 December 2008,$45.22[16],$63.99
17,Industrial & Commercial Bank of China,Banking,China,2021,31 December 2021,RMB 350.216[17],$60.75
18,Industrial & Commercial Bank of China,Banking,China,2020,31 December 2020,RMB 317.685[18],$60.5
19,Apple,Consumer electronics,United States,2017,30 September 2017,$48.35[19],$60.1
20,ExxonMobil,Oil and gas,United States,2006,31 December 2006,$39.5[16],$59.7
21,ExxonMobil,Oil and gas,United States,2007,31 December 2007,$40.61[16],$59.67
22,ExxonMobil,Oil and gas,United States,2012,31 December 2012,$44.88[20],$59.56
23,Apple,Consumer electronics,United States,2016,24 September 2016,$45.7[21],$58.02
24,Saudi Aramco,Oil and gas,Saudi Arabia,2020,31 December 2020,SAR 183.8[6],$57.69
25,Industrial & Commercial Bank of China,Banking,China,2014,31 December 2014,RMB 276.286[22],$57.79
26,ExxonMobil,Oil and gas,United States,2005,31 December 2005,$36.13[23],$56.37
27,Industrial & Commercial Bank of China,Banking,China,2013,31 December 2013,RMB 262.7,$56.2
28,Berkshire Hathaway,Conglomerate,United States,2017,31 December 2017,$44.9[8],$55.86
29,ExxonMobil,Oil and gas,United States,2011,31 December 2011,$41.06[24],$55.61
30,Apple,Consumer electronics,United States,2012,29 September 2012,$41.73[25],$55.38
31,Industrial & Commercial Bank of China,Banking,China,2015,31 December 2015,RMB 277.720[22],$55
32,Industrial & Commercial Bank of China,Banking,China,2017,31 December 2017,RMB 287.451[26],$54.87
33,JPMorgan Chase,Banking,United States,2021,31 December 2021,$48.33[27],$54.35
34,Industrial & Commercial Bank of China,Banking,China,2019,31 December 2019,RMB 313.361[18],$53.44
35,Gazprom,Oil and gas,Russia,2012,31 December 2012,"RUB 1,224.5",$53.31
36,Nestlé,Food processing,Switzerland,2010,31 December 2010,$37.88[28],$52.93
37,China Construction Bank,Banking,China,2021,31 December 2021,RMB 303.928[29],$52.72
38,Industrial & Commercial Bank of China,Banking,China,2018,31 December 2018,RMB 298.723[26],$52.67
39,Microsoft,Information technology,United States,2020,30 June 2020,$44.28[30],$52.13
40,Industrial & Commercial Bank of China,Banking,China,2016,31 December 2016,RMB 279.106[26],$50.99
41,Apple,Consumer electronics,United States,2014,27 September 2014,$39.51[31],$50.85
42,Berkshire Hathaway,Conglomerate,United States,2020,31 December 2020,$42.5[8],$50.06
43,Industrial & Commercial Bank of China,Banking,China,2012,31 December 2012,RMB 238.7[32],$50.16
44,Apple,Consumer electronics,United States,2013,29 September 2013,$37.04,$48.45
45,China Construction Bank,Banking,China,2014,31 December 2014,RMB 228.247[33],$47.74
46,Alphabet,Information technology,United States,2020,31 December 2020,$40.7[9],$47.41
47,China Construction Bank,Banking,China,2020,31 December 2020,RMB 273.579[29],$46.27
48,China Construction Bank,Banking,China,2019,31 December 2019,RMB 255.63[29],$46.36
49,Microsoft,Information technology,United States,2019,30 June 2019,$39.24[30],$46.76
50,China Construction Bank,Banking,China,2017,31 December 2017,RMB 243.615[34],$46.5
51,Royal Dutch Shell,Oil and gas,Netherlands  UK,2007,31 December 2007,$31.33[35],$46.04
52,China Construction Bank,Banking,China,2013,31 December 2013,RMB 214.65,$45.92
53,Gazprom,Oil and gas,Russia,2013,31 December 2013,"RUB 1,139.2",$45.43
54,China Construction Bank,Banking,China,2015,31 December 2015,RMB 228.886[33],$45.33
55,China Construction Bank,Banking,China,2018,31 December 2018,RMB 255.626[34],$45.09
